Domain_id,Suburb,Postcode,Lat,Lng,lga_ID
39907.0,Thomson,3219.0,-38.176358,144.3849841,33.0
43767.0,Whittington,3219.0,-38.176358,144.3849841,33.0
15407.0,Geelong West,3218.0,-38.1180538,144.2047333,33.0
104297.0,Fyansford,3218.0,-38.1180538,144.2047333,33.0
18527.0,Herne Hill,3218.0,-38.1180538,144.2047333,33.0
25177.0,Manifold Heights,3218.0,-38.1180538,144.2047333,33.0
104437.0,Murgheboluc,3218.0,-38.1180538,144.2047333,33.0
104517.0,Stonehaven,3218.0,-38.1180538,144.2047333,33.0
17727.0,Hamlyn Heights,3215.0,-38.1083132,144.3357845,33.0
31027.0,North Geelong,3215.0,-38.1083132,144.3357845,33.0
3647.0,Bell Park,3215.0,-38.1083132,144.3357845,33.0
3657.0,Bell Post Hill,3215.0,-38.1083132,144.3357845,33.0
12557.0,Drumcondra,3215.0,-38.1083132,144.3357845,33.0
34497.0,Rippleside,3215.0,-38.1083132,144.3357845,33.0
30617.0,Newtown,3220.0,-38.155681,144.3521811,33.0
15337.0,Geelong,3220.0,-38.155681,144.3521811,33.0
36747.0,South Geelong,3220.0,-38.155681,144.3521811,33.0
33287.0,Portarlington,3223.0,-38.1610488,144.6753231,33.0
3687.0,Bellarine,3223.0,-38.1610488,144.6753231,33.0
19447.0,Indented Head,3223.0,-38.1610488,144.6753231,33.0
146777.0,Anakie,3213.0,-37.9873525,144.2811537,33.0
104247.0,Batesford,3213.0,-37.9873525,144.2811537,33.0
104367.0,Lovely Banks,3213.0,-37.9873525,144.2811537,33.0
104407.0,Moorabool,3213.0,-37.9873525,144.2811537,33.0
104197.0,Armstrong Creek,3217.0,-38.2617284,144.3248554,33.0
144567.0,Charlemont,3217.0,-38.2617284,144.3248554,33.0
104287.0,Freshwater Creek,3217.0,-38.2617284,144.3248554,33.0
104417.0,Mount Duneed,3217.0,-38.2617284,144.3248554,33.0
1907.0,Avalon,3212.0,-38.0110859,144.4561033,33.0
23187.0,Lara,3212.0,-38.0110859,144.4561033,33.0
32997.0,Point Wilson,3212.0,-38.0110859,144.4561033,33.0
