Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
33397.0,1660000.0,39.0,4305000.0,381000.0,1425000.0,66.0,4250000.0,140000.0,35.0,23.0,40.0,605.0,128.0,1850.0,170.0
44117.0,1635000.0,28.0,9650000.0,575000.0,1540000.0,40.0,2490000.0,550000.0,21.0,14.0,42.0,650.0,70.0,1600.0,330.0
36877.0,1920000.0,52.0,9150000.0,430000.0,1850000.0,107.0,7000000.0,204000.0,34.0,20.0,76.0,695.0,171.0,2800.0,280.0
40457.0,4748000.0,28.0,15200000.0,1235000.0,5500000.0,94.0,33300000.0,465000.0,15.0,5.0,40.0,1200.0,46.0,,350.0
1787.0,2105000.0,42.0,3595000.0,750000.0,1800000.0,62.0,6510000.0,530000.0,34.0,28.0,20.0,595.0,47.0,1500.0,150.0
1807.0,1310000.0,23.0,2820000.0,875000.0,1350000.0,45.0,1990000.0,780000.0,18.0,11.0,32.0,545.0,40.0,990.0,350.0
9327.0,897000.0,28.0,1555000.0,685000.0,950000.0,140.0,9500000.0,398000.0,30.0,17.0,87.0,480.0,234.0,1000.0,145.0
31177.0,1163000.0,10.0,1436000.0,735000.0,975000.0,15.0,1640000.0,325000.0,8.0,4.0,,450.0,28.0,690.0,175.0
15957.0,1538000.0,109.0,4506000.0,575000.0,1500000.0,227.0,6000000.0,64000.0,70.0,43.0,29.0,560.0,285.0,1500.0,350.0
43647.0,1385000.0,51.0,3380000.0,1115000.0,1550000.0,65.0,6250000.0,200000.0,32.0,26.0,70.0,550.0,81.0,1300.0,375.0
28457.0,1500000.0,123.0,3968000.0,451000.0,1400000.0,235.0,4380000.0,800000.0,97.0,61.0,57.0,560.0,229.0,1400.0,320.0
29167.0,971000.0,62.0,1650000.0,655000.0,900000.0,65.0,1200000.0,380000.0,29.0,26.0,16.0,470.0,127.0,920.0,330.0
31547.0,1370000.0,15.0,1985000.0,755000.0,985000.0,36.0,2500000.0,291000.0,13.0,9.0,,510.0,61.0,1250.0,330.0
31567.0,1180000.0,19.0,1555000.0,645000.0,1100000.0,42.0,2300000.0,520000.0,18.0,11.0,25.0,430.0,78.0,1300.0,200.0
19257.0,1559000.0,28.0,2700000.0,715000.0,1250000.0,40.0,2550000.0,600000.0,22.0,14.0,35.0,530.0,33.0,1500.0,350.0
19317.0,,4.0,1730000.0,936000.0,,7.0,1250000.0,1050000.0,3.0,3.0,,505.0,14.0,750.0,350.0
2557.0,2690000.0,53.0,6450000.0,720000.0,2448000.0,91.0,7200000.0,100000.0,42.0,30.0,44.0,680.0,69.0,1630.0,330.0
11487.0,,5.0,3280000.0,2550000.0,,7.0,9975000.0,1450000.0,3.0,2.0,,800.0,11.0,1800.0,350.0
2597.0,2291000.0,91.0,5500000.0,732000.0,1963000.0,155.0,5750000.0,600000.0,73.0,46.0,77.0,653.0,100.0,1600.0,156.0
7237.0,1378000.0,65.0,2401000.0,525000.0,1299000.0,114.0,14000000.0,480000.0,52.0,31.0,67.0,500.0,118.0,1100.0,150.0
7677.0,2315000.0,74.0,9800000.0,691000.0,2200000.0,145.0,10000000.0,600000.0,66.0,40.0,36.0,820.0,97.0,2200.0,220.0
7907.0,3800000.0,25.0,6500000.0,321000.0,2800000.0,40.0,7644000.0,260000.0,21.0,15.0,30.0,845.0,32.0,3100.0,360.0
18087.0,2430000.0,49.0,7850000.0,460000.0,2500000.0,109.0,38000000.0,410000.0,40.0,26.0,47.0,600.0,127.0,8000.0,160.0
21137.0,2300000.0,88.0,8000000.0,150000.0,2425000.0,168.0,17000000.0,590000.0,69.0,41.0,40.0,690.0,119.0,2500.0,200.0
21167.0,2050000.0,21.0,3520000.0,940000.0,,25.0,3000000.0,1350000.0,23.0,19.0,,675.0,27.0,2200.0,350.0
38357.0,2370000.0,32.0,4750000.0,1405000.0,1965000.0,62.0,4000000.0,540000.0,29.0,20.0,53.0,710.0,60.0,1800.0,390.0
27307.0,2571000.0,19.0,4360000.0,765000.0,1950000.0,38.0,4100000.0,700000.0,18.0,11.0,53.0,520.0,33.0,980.0,325.0
18117.0,2130000.0,34.0,8100000.0,330000.0,1650000.0,65.0,7800000.0,345000.0,28.0,18.0,38.0,650.0,100.0,2750.0,190.0
3547.0,2113000.0,67.0,12000000.0,671000.0,1850000.0,85.0,11500000.0,570000.0,53.0,38.0,23.0,878.0,48.0,2500.0,475.0
4627.0,2610000.0,27.0,4060000.0,1030000.0,2525000.0,40.0,5000000.0,990000.0,24.0,13.0,58.0,1025.0,32.0,3000.0,520.0
5957.0,2900000.0,78.0,9500000.0,30000.0,3213000.0,176.0,16500000.0,400000.0,52.0,29.0,58.0,950.0,123.0,4000.0,350.0
13627.0,2488000.0,18.0,4900000.0,1325000.0,1800000.0,37.0,3500000.0,380000.0,19.0,11.0,,698.0,32.0,1850.0,325.0
15237.0,,,,,,1.0,3050000.0,3050000.0,,,,,6.0,1150.0,650.0
34527.0,,3.0,2565000.0,1650000.0,,5.0,2995000.0,290000.0,3.0,1.0,,,8.0,950.0,545.0
17737.0,2430000.0,59.0,7860000.0,770000.0,2325000.0,84.0,8000000.0,340000.0,40.0,24.0,45.0,950.0,65.0,2500.0,400.0
