streetNumber,streetName,streetType,suburb,postcode,state,geoLocation,propertyType,bedrooms,bathrooms,carspaces,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,price,unitNumber,area,second_ID,canonicalUrl,areaSize,photos
79,Coghlan,St,Niddrie,3042.0,Vic,"{'latitude': -37.741761, 'longitude': 144.8833337}",Townhouse,3,2.0,2.0,AUSP,Nelson Alexander Essendon,2017648922,4722,Nelson Alexander Essendon,https://www.domain.com.au/real-estate-agencies/nelsonalexanderessendon-4722,https://www.domain.com.au/2-79-coghlan-street-niddrie-vic-3042-2017648922,980000,2,0,IY-4525-ZG,https://www.domain.com.au/property-profile/79-coghlan-street-niddrie-vic-3042,1010,https://bucket-api.domain.com.au/v1/bucket/image/w800-h566-2009988469_1_pi_150315_062201
141,Corrigan,Rd,Noble Park,3174.0,Vic,"{'latitude': -37.9669553, 'longitude': 145.1682435}",Townhouse,3,2.0,2.0,AUSD,Barry Plant Noble Park,2017674861,17354,Barry Plant Noble Park,https://www.domain.com.au/real-estate-agencies/barryplantnoblepark-17354,https://www.domain.com.au/3-141-corrigan-road-noble-park-vic-3174-2017674861,715000,3,0,SU-3865-GW,https://www.domain.com.au/property-profile/141-corrigan-road-noble-park-vic-3174,614,https://bucket-api.domain.com.au/v1/bucket/image/2016369863_1_1_200713_064003-w800-h471
162,Railway,Pde,Noble Park,3174.0,Vic,"{'latitude': -37.9776064, 'longitude': 145.1918129}",House,3,1.0,1.0,AUSD,FN JXRE,2017640369,29763,First National JXRE,https://www.domain.com.au/real-estate-agencies/firstnationaljxre-29763,https://www.domain.com.au/162-railway-parade-noble-park-vic-3174-2017640369,738500,,0,CW-0467-HU,https://www.domain.com.au/property-profile/162-railway-parade-noble-park-vic-3174,531,https://bucket-api.domain.com.au/v1/bucket/image/2017640369_1_1_220304_042847-w1920-h1280
43,Theodore,Av,Noble Park,3174.0,Vic,"{'latitude': -37.976165, 'longitude': 145.169312}",Unit,3,1.0,1.0,AUSD,HAR Noble Park,2017644160,19122,_Harcourts Noble Park,https://www.domain.com.au/real-estate-agencies/harcourtsnoblepark-19122,https://www.domain.com.au/4-43-theodore-avenue-noble-park-vic-3174-2017644160,635500,4,0,GV-5255-LF,https://www.domain.com.au/property-profile/43-theodore-avenue-noble-park-vic-3174,295,0
11,Wallarano,Dr,Noble Park,3174.0,Vic,"{'latitude': -37.9785224, 'longitude': 145.1670029}",Unit,2,1.0,1.0,AUSD,RW Noble Park,2016869901,6380,Ray White Noble Park,https://www.domain.com.au/real-estate-agencies/raywhitenoblepark-6380,https://www.domain.com.au/5-11-wallarano-drive-noble-park-vic-3174-2016869901,560000,5,0,OU-2118-MC,https://www.domain.com.au/property-profile/11-wallarano-drive-noble-park-vic-3174,126,0
78,Coolavin,Rd,Noble Park North,3174.0,Vic,"{'latitude': -37.9559014, 'longitude': 145.1973348}",House,3,1.0,1.0,AUSD,HAR Asap Group,2017643478,29204,Harcourts Asap Group,https://www.domain.com.au/real-estate-agencies/harcourtsasapgroup-29204,https://www.domain.com.au/78-coolavin-road-noble-park-north-vic-3174-2017643478,800500,,0,JJ-7362-JW,https://www.domain.com.au/property-profile/78-coolavin-road-noble-park-north-vic-3174,534,https://bucket-api.domain.com.au/v1/bucket/image/2017643478_1_1_220307_031311-w1621-h1081
3,Giddings,St,North Geelong,3215.0,Vic,"{'latitude': -38.120862, 'longitude': 144.3447083}",House,3,2.0,2.0,AUSD,McGrath Geelong ; Newtown,2017645771,5797,McGrath Geelong | Newtown,https://www.domain.com.au/real-estate-agencies/mcgrathgeelongnewtown-5797,https://www.domain.com.au/3-giddings-street-north-geelong-vic-3215-2017645771,835000,,0,WB-5288-PZ,https://www.domain.com.au/property-profile/3-giddings-street-north-geelong-vic-3215,646,https://bucket-api.domain.com.au/v1/bucket/image/2017645771_1_1_220308_125850-w4184-h2798
220,Abbotsford,St,North Melbourne,3051.0,Vic,"{'latitude': -37.8020096, 'longitude': 144.9459013}",Unit,2,2.0,2.0,AUSP,Belle Property Carlton,2017643999,24322,Belle Property Carlton,https://www.domain.com.au/real-estate-agencies/bellepropertycarlton-24322,https://www.domain.com.au/5-220-abbotsford-street-north-melbourne-vic-3051-2017643999,827000,5,0,CI-5928-OT,https://www.domain.com.au/property-profile/220-abbotsford-street-north-melbourne-vic-3051,517,0
369,Abbotsford,St,North Melbourne,3051.0,Vic,"{'latitude': -37.7980872, 'longitude': 144.9460638}",Unit,3,2.0,1.0,AUSD,Jellis Craig,2017647552,20419,Jellis Craig Kensington,https://www.domain.com.au/real-estate-agencies/jelliscraigkensington-20419,https://www.domain.com.au/18-369-abbotsford-street-north-melbourne-vic-3051-2017647552,665000,18,0,ZC-7037-PS,https://www.domain.com.au/property-profile/5-369-abbotsford-street-north-melbourne-vic-3051,1852,https://bucket-api.domain.com.au/v1/bucket/image/14310768_1_1_200615_121431-w1500-h1000
87,Bent,St,Northcote,3070.0,Vic,"{'latitude': -37.7670205, 'longitude': 144.9933941}",House,3,2.0,1.0,AUHB,Jellis Craig Northcote,2017647579,15667,Jellis Craig Northcote,https://www.domain.com.au/real-estate-agencies/jelliscraignorthcote-15667,https://www.domain.com.au/87-bent-street-northcote-vic-3070-2017647579,1450000,,0,UM-3848-CC,https://www.domain.com.au/property-profile/87-bent-street-northcote-vic-3070,196,https://bucket-api.domain.com.au/v1/bucket/image/2017647579_1_1_220308_061239-w1600-h1067
9,Bent,St,Northcote,3070.0,Vic,"{'latitude': -37.767558, 'longitude': 144.998085}",House,3,1.0,1.0,AUSD,Nelson Alexander Northcote,2017648701,4721,Nelson Alexander Northcote,https://www.domain.com.au/real-estate-agencies/nelsonalexandernorthcote-4721,https://www.domain.com.au/9-bent-street-northcote-vic-3070-2017648701,1580500,,0,GJ-0985-KH,https://www.domain.com.au/property-profile/9-bent-street-northcote-vic-3070,291,https://bucket-api.domain.com.au/v1/bucket/image/2017648701_1_1_220308_114015-w1600-h1067
31,Glanfield,St,Northcote,3070.0,Vic,"{'latitude': -37.7707932, 'longitude': 145.0078532}",House,3,2.0,2.0,AUSP,Jellis Craig Northcote,2017650498,15667,Jellis Craig Northcote,https://www.domain.com.au/real-estate-agencies/jelliscraignorthcote-15667,https://www.domain.com.au/31-glanfield-street-northcote-vic-3070-2017650498,1600000,,0,GM-8367-BE,https://www.domain.com.au/property-profile/31-glanfield-street-northcote-vic-3070,228,https://bucket-api.domain.com.au/v1/bucket/image/2017650498_1_1_220309_042815-w1600-h1067
23,Hillside,Av,Northcote,3070.0,Vic,"{'latitude': -37.773091, 'longitude': 145.0143103}",House,4,2.0,2.0,AUSD,BP Inner North,2017651177,32225,Barry Plant Inner North,https://www.domain.com.au/real-estate-agencies/barryplantinnernorth-32225,https://www.domain.com.au/23-hillside-avenue-northcote-vic-3070-2017651177,2225000,,0,VK-0976-JQ,https://www.domain.com.au/property-profile/23-hillside-avenue-northcote-vic-3070,560,https://bucket-api.domain.com.au/v1/bucket/image/2017651177_1_1_220309_055858-w2000-h1333
7,Swift,St,Northcote,3070.0,Vic,"{'latitude': -37.7671936, 'longitude': 145.0164197}",House,2,1.0,2.0,AUSD,Harrington Earl Estate Agents,2017645263,3558,Harrington Earl Estate Agents,https://www.domain.com.au/real-estate-agencies/harringtonearlestateagents-3558,https://www.domain.com.au/7-swift-street-northcote-vic-3070-2017645263,1600000,,0,DL-9885-FZ,https://www.domain.com.au/property-profile/7-swift-street-northcote-vic-3070,390,https://bucket-api.domain.com.au/v1/bucket/image/2017645263_1_1_220307_110848-w1920-h1280
249,Westgarth,St,Northcote,3070.0,Vic,"{'latitude': -37.7820518, 'longitude': 145.0123586}",Villa,3,1.0,1.0,AUSD,Nelson Alexander Northcote,2017648697,4721,Nelson Alexander Northcote,https://www.domain.com.au/real-estate-agencies/nelsonalexandernorthcote-4721,https://www.domain.com.au/11-249-westgarth-street-northcote-vic-3070-2017648697,960000,11,0,JD-3604-IE,https://www.domain.com.au/property-profile/249-westgarth-street-northcote-vic-3070,168,0
17,Cyprus,Av,Nunawading,3131.0,Vic,"{'latitude': -37.8082348, 'longitude': 145.1815034}",House,3,1.0,2.0,AUSD,Woodards Blackburn,2017638777,3599,Woodards Blackburn,https://www.domain.com.au/real-estate-agencies/woodardsblackburn-3599,https://www.domain.com.au/17-cyprus-avenue-nunawading-vic-3131-2017638777,1072000,,0,BT-2021-HQ,https://www.domain.com.au/property-profile/17-cyprus-avenue-nunawading-vic-3131,604,https://bucket-api.domain.com.au/v1/bucket/image/2017638777_1_1_220303_103855-w1600-h1065
1,Lasiandra,Av,Nunawading,3131.0,Vic,"{'latitude': -37.8300922, 'longitude': 145.1841937}",House,3,2.0,2.0,AUSD,RW Burwood,2017645709,3576,Ray White Burwood,https://www.domain.com.au/real-estate-agencies/raywhiteburwood-3576,https://www.domain.com.au/1-lasiandra-avenue-nunawading-vic-3131-2017645709,1140500,,0,VR-4524-PX,https://www.domain.com.au/property-profile/1-lasiandra-avenue-nunawading-vic-3131,604,https://bucket-api.domain.com.au/v1/bucket/image/2017645709_1_1_220308_124254-w2500-h1667
