postcode,LGA
3521,Mitchell (S)
3522,Mitchell (S)
3523,Greater Bendigo (C)
3525,Buloke (S)
3527,Buloke (S)
3529,Buloke (S)
3530,Buloke (S)
3531,Buloke (S)
3533,Buloke (S)
3537,Loddon (S)
3540,Gannawarra (S)
3542,Gannawarra (S)
3544,Swan Hill (RC)
3546,Swan Hill (RC)
3549,Swan Hill (RC)
3550,Greater Bendigo (C)
3551,Loddon (S)
3555,Greater Bendigo (C)
3556,Greater Bendigo (C)
3557,Greater Bendigo (C)
3558,Campaspe (S)
3559,Campaspe (S)
3561,Campaspe (S)
3562,Campaspe (S)
3563,Campaspe (S)
3564,Campaspe (S)
3565,Campaspe (S)
3566,Campaspe (S)
3567,Loddon (S)
3568,Gannawarra (S)
3570,Greater Bendigo (C)
3571,Loddon (S)
3572,Campaspe (S)
3573,Campaspe (S)
3575,Loddon (S)
3576,Loddon (S)
3578,Gannawarra (S)
3579,Gannawarra (S)
3580,Gannawarra (S)
3581,Gannawarra (S)
3583,Swan Hill (RC)
3584,Swan Hill (RC)
3585,Swan Hill (RC)
3586,Swan Hill (RC)
3588,Swan Hill (RC)
3589,Swan Hill (RC)
3590,Swan Hill (RC)
3591,Swan Hill (RC)
3594,Swan Hill (RC)
3595,Swan Hill (RC)
3596,Swan Hill (RC)
3597,Swan Hill (RC)
3599,Swan Hill (RC)
3607,Strathbogie (S)
3608,Strathbogie (S)
3610,Greater Shepparton (C)
3612,Campaspe (S)
3614,Greater Shepparton (C)
3616,Greater Shepparton (C)
3617,Greater Shepparton (C)
3618,Greater Shepparton (C)
3619,Campaspe (S)
3620,Greater Shepparton (C)
3621,Campaspe (S)
3622,Campaspe (S)
3623,Campaspe (S)
3624,Greater Shepparton (C)
3629,Greater Shepparton (C)
3630,Greater Shepparton (C)
3631,Greater Shepparton (C)
3633,Greater Shepparton (C)
3634,Moira (S)
3635,Moira (S)
3636,Moira (S)
3637,Moira (S)
3638,Moira (S)
3639,Moira (S)
3640,Moira (S)
3641,Moira (S)
3644,Moira (S)
3646,Moira (S)
3647,Greater Shepparton (C)
3649,Moira (S)
3658,Mitchell (S)
3659,Mitchell (S)
3660,Mitchell (S)
3662,Mitchell (S)
3663,Strathbogie (S)
3664,Strathbogie (S)
3665,Strathbogie (S)
3666,Strathbogie (S)
3669,Strathbogie (S)
3670,Benalla (RC)
3672,Benalla (RC)
3673,Benalla (RC)
3675,Wangaratta (RC)
3677,Wangaratta (RC)
3678,Wangaratta (RC)
3682,Indigo (S)
3683,Indigo (S)
3685,Indigo (S)
3687,Indigo (S)
3688,Wodonga (RC)
3690,Wodonga (RC)
3691,Wodonga (RC)
3693,Wodonga (RC)
3694,Wodonga (RC)
3695,Indigo (S)
3697,Alpine (S)
3698,Alpine (S)
3699,Alpine (S)
3700,Towong (S)
3701,Towong (S)
3704,Towong (S)
3705,Towong (S)
3707,Towong (S)
3708,Towong (S)
3709,Towong (S)
3711,Murrindindi (S)
3712,Murrindindi (S)
3713,Murrindindi (S)
3714,Murrindindi (S)
3715,Mansfield (S)
3717,Murrindindi (S)
3718,Murrindindi (S)
3719,Murrindindi (S)
3720,Mansfield (S)
3722,Mansfield (S)
3723,Mansfield (S)
3725,Benalla (RC)
3726,Benalla (RC)
3727,Moira (S)
3728,Moira (S)
3730,Moira (S)
3732,Wangaratta (RC)
3733,Wangaratta (RC)
3735,Wangaratta (RC)
3737,Alpine (S)
3738,Alpine (S)
3739,Alpine (S)
3740,Alpine (S)
3741,Alpine (S)
3744,Alpine (S)
3746,Wangaratta (RC)
3747,Indigo (S)
3749,Indigo (S)
3750,Whittlesea (C)
3751,Whittlesea (C)
3752,Whittlesea (C)
3753,Mitchell (S)
3754,Whittlesea (C)
3755,Whittlesea (C)
3756,Mitchell (S)
3757,Mitchell (S)
3758,Mitchell (S)
3759,Nillumbik (S)
3760,Nillumbik (S)
3761,Nillumbik (S)
3762,Mitchell (S)
3763,Murrindindi (S)
3764,Mitchell (S)
3765,Yarra Ranges (S)
3766,Yarra Ranges (S)
3767,Yarra Ranges (S)
3770,Yarra Ranges (S)
3775,Yarra Ranges (S)
3777,Murrindindi (S)
3778,Murrindindi (S)
3779,Murrindindi (S)
3781,Cardinia (S)
