Domain_id,streetNumber,streetName,streetType,geoLocation,propertyType,bedrooms,bathrooms,carspaces,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos
8297.0,1265,Glen Huntly,Rd,"{'latitude': -37.8896171, 'longitude': 145.0477865}",Townhouse,3.0,2.0,2.0,https://www.domain.com.au/6-1265-glen-huntly-road-carnegie-vic-3163-2017642249,1000000.0,6,ZH-2895-BX,https://www.domain.com.au/property-profile/1265-glen-huntly-road-carnegie-vic-3163,182.0,https://bucket-api.domain.com.au/v1/bucket/image/w800-h600-2007380446_1_pi_150223_092551
8297.0,211,Neerim,Rd,"{'latitude': -37.8881209, 'longitude': 145.0502044}",Unit,2.0,1.0,1.0,https://www.domain.com.au/4-211-neerim-road-carnegie-vic-3163-2017652160,855000.0,4,KV-5273-SM,https://www.domain.com.au/property-profile/211-neerim-road-carnegie-vic-3163,161.0,0
8297.0,264-266,Neerim,Rd,"{'latitude': -37.888387, 'longitude': 145.054969}",Unit,2.0,1.0,1.0,https://www.domain.com.au/3-264-neerim-road-carnegie-vic-3163-2017647535,610000.0,3,BN-3997-VM,https://www.domain.com.au/property-profile/264-266-lygon-street-carlton-vic-3053,279.0,0
8297.0,15,Woornack,Rd,"{'latitude': -37.897939, 'longitude': 145.057562}",House,2.0,1.0,2.0,https://www.domain.com.au/15-woornack-road-carnegie-vic-3163-2017663920,1138000.0,,ZF-3124-VP,https://www.domain.com.au/property-profile/15-woornack-road-carnegie-vic-3163,286.0,https://bucket-api.domain.com.au/v1/bucket/image/2017663920_1_1_220315_052553-w1600-h1067
8297.0,48,Woornack,Rd,"{'latitude': -37.8976534, 'longitude': 145.0605028}",Unit,2.0,1.0,1.0,https://www.domain.com.au/4-48-woornack-road-carnegie-vic-3163-2017649320,875000.0,4,PV-4853-BW,https://www.domain.com.au/property-profile/48-woornack-road-carnegie-vic-3163,150.0,0
8747.0,27,Malvern,Gr,"{'latitude': -37.8695783, 'longitude': 145.0296587}",Unit,3.0,1.0,1.0,https://www.domain.com.au/2-27-malvern-grove-caulfield-north-vic-3161-2017644039,700000.0,2,CO-8532-HL,https://www.domain.com.au/property-profile/27-malvern-grove-caulfield-north-vic-3161,892.0,0
31597.0,16,Delia,St,"{'latitude': -37.920386, 'longitude': 145.085153}",House,4.0,2.0,2.0,https://www.domain.com.au/16-delia-street-oakleigh-south-vic-3167-2017644442,1790000.0,,LY-6454-XU,https://www.domain.com.au/property-profile/16-delia-street-oakleigh-south-vic-3167,762.0,https://bucket-api.domain.com.au/v1/bucket/image/2017644442_16_1_220307_060430-w2000-h1500
31597.0,7,McCormick,Ct,"{'latitude': -37.9373879, 'longitude': 145.0973379}",House,4.0,2.0,2.0,https://www.domain.com.au/7-mccormick-court-oakleigh-south-vic-3167-2017642617,1450000.0,,JK-8459-RE,https://www.domain.com.au/property-profile/7-mccormick-court-oakleigh-south-vic-3167,545.0,https://bucket-api.domain.com.au/v1/bucket/image/2017642617_1_1_220307_120441-w1600-h1067
31597.0,1256,North,Rd,"{'latitude': -37.9113937, 'longitude': 145.0968042}",Unit,2.0,1.0,2.0,https://www.domain.com.au/2-1256-north-road-oakleigh-south-vic-3167-2017650423,753000.0,2,JD-2806-WY,https://www.domain.com.au/property-profile/1256-north-road-oakleigh-south-vic-3167,821.0,0
4297.0,14,Clendon,St,"{'latitude': -38.063266, 'longitude': 145.349893}",House,4.0,2.0,4.0,https://www.domain.com.au/14-clendon-street-berwick-vic-3806-2017646371,1020000.0,,BN-4806-QB,https://www.domain.com.au/property-profile/14-clendon-street-berwick-vic-3806,578.0,https://bucket-api.domain.com.au/v1/bucket/image/2017646371_1_1_220308_102213-w1920-h1280
